Date,Ticker,Sentiment_Mean,Sentiment_Std,Headline_Count
2021-06-23,NVDA,0.10036238,0.7078417,3
2021-06-23,TSLA,0.055845894,0.61699206,11
2021-06-24,AAPL,0.031392347,0.4796133,11
2021-06-24,MSFT,0.16605026,0.43706393,8
2021-06-24,NVDA,0.40816498,0.45397043,3
2021-06-24,TSLA,-0.08674788,0.5272823,11
2021-06-25,AAPL,-0.065443285,0.8406921,3
2021-06-25,MSFT,0.09506836,0.38670945,5
2021-06-25,NVDA,-0.44485578,0.0,1
2021-06-25,TSLA,-0.0419859,0.67763597,10
2021-06-26,MSFT,-0.38286683,0.0,1
2021-06-26,TSLA,-0.94863695,0.0,1
2021-06-27,TSLA,0.21995692,0.0,1
2021-06-28,AAPL,-0.13121723,0.6689605,10
2021-06-28,MSFT,0.34230152,0.3656516,7
2021-06-28,NVDA,0.39460397,0.5724457,6
2021-06-28,TSLA,0.08449972,0.5424907,11
2021-06-29,AAPL,0.07865141,0.5708463,7
2021-06-29,MSFT,-0.024954472,0.25906935,5
2021-06-29,NVDA,-0.874521,0.0,1
2021-06-29,TSLA,-0.003615726,0.47984862,11
2021-06-30,AAPL,-0.1458436,0.6729323,8
2021-06-30,MSFT,-0.161911,0.5651246,9
2021-06-30,NVDA,-0.21022685,0.46759832,5
2021-06-30,TSLA,0.32519457,0.55711055,9
2021-07-01,AAPL,-0.13571733,0.62451714,6
2021-07-01,MSFT,-0.10176043,0.8076139,7
2021-07-01,NVDA,0.0904605,0.7355833,6
2021-07-01,TSLA,-0.02953701,0.76717114,9
2021-07-02,AAPL,-0.03164628,0.64445245,9
2021-07-02,MSFT,-0.04876068,0.71413916,7
2021-07-02,NVDA,0.26917964,0.7405151,4
2021-07-02,TSLA,0.07522398,0.7049564,10
2021-07-03,MSFT,0.23447554,0.6110964,2
2021-07-03,TSLA,0.8228698,0.0,1
2021-07-04,AAPL,-0.35834777,0.5444956,2
2021-07-04,NVDA,-0.18280974,0.0,1
2021-07-04,TSLA,-0.18280974,0.0,1
2021-07-05,AAPL,-0.06291293,0.0,1
2021-07-05,TSLA,0.09732742,0.0,1
2021-07-06,AAPL,-0.10323999,0.43216595,11
2021-07-06,MSFT,-0.38806546,0.4854575,9
2021-07-06,NVDA,0.2294805,0.54468524,7
2021-07-06,TSLA,-0.036733203,0.44340542,10
2021-07-07,AAPL,-0.117703795,0.6246298,10
2021-07-07,MSFT,0.31634143,0.45658204,11
2021-07-07,NVDA,0.13964926,0.5708353,6
2021-07-07,TSLA,0.072836116,0.78052706,11
2021-07-08,AAPL,-0.10808588,0.6764063,9
2021-07-08,MSFT,-0.27058464,0.43612188,7
2021-07-08,NVDA,-0.63862467,0.5168339,3
2021-07-08,TSLA,-0.3455874,0.5750026,13
2021-07-09,AAPL,-0.13202544,0.5412366,11
2021-07-09,MSFT,-0.5563332,0.43395,4
2021-07-09,NVDA,-0.672131,0.2513669,2
2021-07-09,TSLA,0.17767404,0.60152644,10
2021-07-10,AAPL,-0.24159688,0.032779206,2
2021-07-10,TSLA,-0.33647054,0.10139244,2
2021-07-11,AAPL,0.42371932,0.5159896,2
2021-07-11,TSLA,0.020146493,0.011652127,2
2021-07-12,AAPL,0.049008187,0.72874755,11
2021-07-12,MSFT,-0.1638198,0.71164244,7
2021-07-12,NVDA,0.10196717,0.2140095,2
2021-07-12,TSLA,0.061549213,0.5684589,13
2021-07-13,AAPL,0.19796614,0.5020043,12
2021-07-13,MSFT,0.13799044,0.64859617,7
2021-07-13,NVDA,-0.1944329,0.85253215,3
2021-07-13,TSLA,-0.026031014,0.59185445,13
2021-07-14,AAPL,0.10184396,0.62195635,12
2021-07-14,MSFT,0.31909472,0.3807101,5
2021-07-14,NVDA,-0.17467685,0.9080403,4
2021-07-14,TSLA,-0.12998413,0.8471056,11
2021-07-15,AAPL,0.034775488,0.6271774,15
2021-07-15,MSFT,-0.14441068,0.6579943,7
2021-07-15,NVDA,-0.3695433,0.7083478,6
2021-07-15,TSLA,-0.37263262,0.5731,10
2021-07-16,AAPL,-0.08377894,0.744311,12
2021-07-16,MSFT,-0.23908511,0.5953958,11
2021-07-16,NVDA,-0.055380464,0.793105,6
2021-07-16,TSLA,0.06435159,0.59414953,13
2021-07-17,AAPL,-0.19377437,0.0,1
2021-07-17,TSLA,-0.19377437,0.0,1
2021-07-18,AAPL,0.02817462,0.0,1
2021-07-18,TSLA,-0.12066931,0.7809722,3
2021-07-19,AAPL,-0.004859562,0.65438765,13
2021-07-19,MSFT,-0.3592678,0.651527,8
2021-07-19,NVDA,-0.04217363,0.5733905,9
2021-07-19,TSLA,-0.07648507,0.62428117,12
2021-07-20,AAPL,0.47704747,0.4418431,11
2021-07-20,MSFT,0.32920915,0.5653906,2
2021-07-20,NVDA,0.48069564,0.31033704,5
2021-07-20,TSLA,0.16403793,0.4242436,11
2021-07-21,AAPL,-0.0064476086,0.6282415,13
2021-07-21,MSFT,0.16169572,0.50842565,10
2021-07-21,NVDA,-0.12488943,0.65523964,5
2021-07-21,TSLA,0.065405205,0.4391513,14
2021-07-22,AAPL,0.019100785,0.64781916,15
2021-07-22,MSFT,0.2682383,0.5530718,10
2021-07-22,NVDA,0.43922248,0.5342018,7
2021-07-22,TSLA,-0.069275506,0.6150211,11
2021-07-23,AAPL,0.0420927,0.6403845,12
2021-07-23,MSFT,-0.17591047,0.5062753,7
2021-07-23,NVDA,-0.2898632,0.73732144,3
2021-07-23,TSLA,0.17197517,0.5020913,15
2021-07-24,AAPL,0.02198983,0.03913773,3
2021-07-24,MSFT,0.0336657,0.0,1
2021-07-24,TSLA,0.7519468,0.21607198,2
2021-07-25,AAPL,-0.2858946,0.29316214,2
2021-07-25,NVDA,-0.07859767,0.0,1
2021-07-25,TSLA,0.14812358,0.32063225,2
2021-07-26,AAPL,0.38994038,0.43369514,15
2021-07-26,MSFT,0.16755787,0.54641104,10
2021-07-26,NVDA,-0.16351286,1.0308195,2
2021-07-26,TSLA,0.15101513,0.5461049,13
2021-07-27,AAPL,-0.021731216,0.65288377,16
2021-07-27,MSFT,0.2241736,0.7320642,9
2021-07-27,NVDA,-0.6177249,0.30929485,2
2021-07-27,TSLA,-0.29496145,0.62547654,14
2021-07-28,AAPL,0.19059616,0.7079272,15
2021-07-28,MSFT,0.28832754,0.53163475,11
2021-07-28,NVDA,0.13285628,0.60239786,4
2021-07-28,TSLA,0.24134453,0.6482806,12
2021-07-29,AAPL,0.09529688,0.66505575,10
2021-07-29,MSFT,0.014077642,0.5828347,11
2021-07-29,NVDA,-0.022095004,0.9056611,3
2021-07-29,TSLA,0.2159634,0.46098435,14
2021-07-30,AAPL,-0.3515349,0.6246226,11
2021-07-30,MSFT,-0.16912472,0.60099846,7
2021-07-30,NVDA,-0.17440856,0.9413549,3
2021-07-30,TSLA,-0.05477333,0.5384601,11
2021-07-31,AAPL,0.063183025,0.0,1
2021-07-31,TSLA,-0.4111706,0.0,1
2021-08-01,AAPL,0.026697066,0.035715003,2
2021-08-01,MSFT,0.051951386,0.0,1
2021-08-01,TSLA,0.0014427453,0.0,1
2021-08-02,AAPL,-0.042644206,0.62569046,11
2021-08-02,MSFT,-0.03693437,0.56200844,7
2021-08-02,NVDA,-0.21761943,0.50348794,2
2021-08-02,TSLA,0.3247962,0.5777124,13
2021-08-03,AAPL,0.31605914,0.49804303,13
2021-08-03,MSFT,-0.37920108,0.53071314,5
2021-08-03,NVDA,-0.01803579,0.9167873,3
2021-08-03,TSLA,-0.0037849003,0.6627859,11
2021-08-04,AAPL,0.22871326,0.29866874,7
2021-08-04,MSFT,-0.1568385,0.54259837,4
2021-08-04,NVDA,0.8967958,0.0,1
2021-08-04,TSLA,-0.067080505,0.48349318,13
2021-08-05,AAPL,-0.25601938,0.45891267,8
2021-08-05,MSFT,-0.20275742,0.31158742,3
2021-08-05,NVDA,-0.30228734,0.20162225,2
2021-08-05,TSLA,0.023250284,0.6229063,14
2021-08-06,AAPL,-0.33583134,0.54077333,10
2021-08-06,MSFT,0.79807985,0.19866326,2
2021-08-06,NVDA,-0.16475034,0.9710204,3
2021-08-06,TSLA,-0.21210209,0.75314575,9
2021-08-07,AAPL,0.2014494,0.51702833,3
2021-08-07,MSFT,0.024132524,0.0,1
2021-08-07,TSLA,-0.25167024,0.46658942,4
2021-08-08,AAPL,0.25224584,0.0,1
2021-08-08,TSLA,-0.42484048,0.6247105,2
2021-08-09,AAPL,-0.39394283,0.35407403,8
2021-08-09,MSFT,-0.3521939,0.45363507,4
2021-08-09,NVDA,-0.6405016,0.3415061,2
2021-08-09,TSLA,0.025441209,0.6149743,14
2021-08-10,AAPL,0.13293155,0.5459596,10
2021-08-10,MSFT,0.35059032,0.6571771,6
2021-08-10,NVDA,-0.4864745,0.45927173,3
2021-08-10,TSLA,0.081147216,0.6671745,9
2021-08-11,AAPL,0.2549022,0.64421403,15
2021-08-11,MSFT,0.29623064,0.74010295,6
2021-08-11,NVDA,-0.73024845,0.33355746,2
2021-08-11,TSLA,0.19170494,0.5956687,10
2021-08-12,AAPL,-0.131044,0.5410813,6
2021-08-12,MSFT,-0.0775851,0.69589716,3
2021-08-12,NVDA,-0.30001432,0.34385177,3
2021-08-12,TSLA,-0.056853518,0.65700495,11
2021-08-13,AAPL,-0.39751646,0.5055438,10
2021-08-13,MSFT,-0.15390052,0.3408861,4
2021-08-13,NVDA,0.32001382,0.37907633,4
2021-08-13,TSLA,0.10286939,0.5758905,10
2021-08-14,AAPL,-0.058653854,0.57286006,4
2021-08-14,MSFT,0.47592738,0.0,1
2021-08-14,TSLA,-0.1358019,0.74469846,3
2021-08-15,AAPL,0.41142574,0.0,1
2021-08-15,NVDA,0.417009,0.0,1
2021-08-15,TSLA,0.20795593,0.09523565,2
2021-08-16,AAPL,0.03882108,0.55447674,10
2021-08-16,MSFT,0.019194156,0.60144514,8
2021-08-16,NVDA,-0.14373317,0.37259024,3
2021-08-16,TSLA,0.11080594,0.51968014,10
2021-08-17,AAPL,0.12407178,0.534083,12
2021-08-17,MSFT,-0.103796884,0.5068789,4
2021-08-17,NVDA,0.36961406,0.8482132,4
2021-08-17,TSLA,-0.39810416,0.46927005,12
2021-08-18,AAPL,-0.17654426,0.70907366,10
